tweet,class,words,polarity,emotion
 no te enamores de la persona equivocada solo porque sabe decir las cosas correctas,Depressed,14,negative,others
 A veces deseo que estés en mi lugar solo para saber cómo me siento.,Depressed,14,negative,others
 no perdemos amigos solo aprendemos quienes son nuestros verdaderos,Depressed,9,negative,sadness
 Realmente odio cuando estoy de buen humor y de repente pasa algo malo y arruina todo,Depressed,16,negative,anger
 nunca te rindas en algo que realmente quieres es dificil esperar pero peor es arrepentirse,Depressed,15,negative,others
extraño la forma en que solíamos hablar,Depressed,7,negative,others
 gracias por enviarme un mensaje de texto primero y luego ignorar mi respuesta,Depressed,13,neutral,others
 dos días no son suficiente tiempo para un fin de semana,Depressed,11,neutral,others
 espero que todos tengan un maravilloso domingo manténganse seguros y disfruten el día besos y abrazos,Depressed,16,positive,joy
 acéptame en mi momento más fuerte apóyame en mi momento más débil,Depressed,12,neutral,others
" no tengo un problema de confianza, es solo que las personas ya no se vuelven confiables",Depressed,16,neutral,others
" Eso es lo que pasa con el dolor, exige ser sentido.",Depressed,11,negative,others
 ¿Por qué sientes la necesidad de menospreciar a la gente?,Depressed,10,negative,anger
" si todo lo que tienes que hacer es corregir mi gramática, entonces deja de seguirme",Depressed,15,neutral,others
 no pierdo un seguidor un seguidor me pierde,Depressed,8,negative,others
 duele cuando tienes a alguien en tu corazón pero no puedes tenerlo en tu brazo,Depressed,15,negative,sadness
 siempre me sorprende lo difíciles que se ponen algunas personas cuando están detrás de un teclado,Depressed,16,negative,others
 hacer algo raro y pensar que es por eso que estoy soltero,Depressed,12,negative,others
" las apariencias dejan impresiones, pero sea la personalidad la que impacte",Depressed,11,neutral,others
 la mejor razon para amar a una persona es amar a una persona sin ninguna razon,Depressed,16,neutral,others
 no juzgues mis elecciones si no entiendes mi razon,Depressed,9,neutral,others
" Querida vida, cuando digo que mi día puede empeorar, es una pregunta retórica, no un desafío.",Depressed,16,negative,others
" mantente fuerte, haz que se pregunten cómo puedes estar quieto, sonríe",Depressed,11,positive,others
 parece que la gente siempre quiere la verdad pero nunca quiere ser honesta,Depressed,13,negative,anger
" Una cosa que puedes hacer mejor que nadie, sé tú mismo.",Depressed,11,positive,others
 aquellos que son los más difíciles de amar lo necesitan más,Depressed,11,neutral,sadness
 a veces esperamos más de los demás porque estaríamos dispuestos a hacer mucho por ellos,Depressed,15,neutral,others
 quédate entre quiero hablar contigo y no quiero molestarte,Depressed,9,neutral,others
 si llora no le digas nada solo abrázala,Depressed,8,neutral,sadness
 no habrá atajos a ningún lugar al que valga la pena ir,Depressed,12,negative,others
 pensar demasiado mata tu felicidad las inseguridades matan tu autoestima y la mentira mata tu confianza,Depressed,16,negative,others
" sí, estoy de un humor estúpido",Depressed,6,negative,others
 a veces las personas tranquilas tienen mucho que decir pero simplemente no se abren a nadie,Depressed,16,neutral,others
 envíame un mensaje de texto cuando estés aburrido y lo ignoraré como si estuviera ocupado,Depressed,15,neutral,others
" Trato de no extrañarte, trato de dejarte ir, pero al final siempre estarás en mi mente.",Depressed,16,negative,sadness
 no juzgues una situación en la que nunca has estado,Depressed,10,neutral,others
 todos seamos hermosos cada uno de nosotros no dejes que nadie te haga pensar diferente,Depressed,15,neutral,others
" si lees esto, quiero que sepas que eres amor y que quieres mantenerte fuerte",Depressed,14,positive,others
 algunos días deseo que las cosas hayan resultado diferentes,Depressed,9,neutral,others
 sé fuerte sé que puedes creer en ti,Depressed,8,positive,others
lo intentaré si me quieres en tu vida házmelo saber,Depressed,10,neutral,others
 me alejo de la gente por una razón,Depressed,8,neutral,others
 no se porque me preocupo por la gente que ni siquiera se preocupa por mi,Depressed,15,negative,sadness
 twittea lo que realmente quieres decir y luego bórralo,Depressed,9,negative,others
 amo dormir te olvidas del dolor problemas estrés todo por un rato,Depressed,12,positive,joy
tengo más conversaciones en mi cabeza que en la vida real,Depressed,11,neutral,others
 la sociedad se gracioso te piden que seas tu mismo y sin embargo te juzgan,Depressed,15,negative,others
 los falsos amigos creen en los rumores los verdaderos amigos creen en ti,Depressed,13,negative,others
 pensar demasiado mata mi felicidad las inseguridades matan mi autoestima la mentira mata mi confianza,Depressed,15,negative,others
" A veces desearía poder leer tu mente, pero luego me pregunto si podría manejar la verdad.",Depressed,16,neutral,others
 solo porque estés roto no significa que no seas hermoso,Depressed,10,neutral,others
 ríete cuando puedas disculparte cuando debas y deja ir lo que no puedes cambiar,Depressed,14,neutral,others
 no me juzgues por mis elecciones cuando no entiendes mi razon,Depressed,11,neutral,others
 la decisión más difícil es decidir si alejarse o esforzarse más,Depressed,11,negative,sadness
 deja de pensar en lo que los demás piensan de ti porque al final no importan,Depressed,16,neutral,others
 no seas raro no seas loco no seas normal eres tu y eso te hace especial,Depressed,16,positive,others
 ¿Alguna vez te miras en el espejo y deseas poder cambiar todo sobre ti?,Depressed,14,neutral,others
 si te corto probablemente me des la tijera,Depressed,8,neutral,others
 no dejes que los momentos difíciles te depriman deja que te hagan más fuerte,Depressed,14,negative,sadness
 si te preocupas por mi actúa como tal,Depressed,8,negative,others
" Si te trato como tú me tratas, te prometo que no te quedarás como yo.",Depressed,15,negative,others
 el amor es como el cielo pero puede doler como el infierno,Depressed,12,negative,sadness
 ¿Qué puede ser peor que estar solo? ¿Usar mentiras? ¿Mentiras engañadas?,Depressed,11,negative,anger
 escucha algo que te mata absolutamente por dentro y tienes que actuar como si estuvieras bien,Depressed,16,neutral,others
 todo sera mejor cuando no te importe un carajo,Depressed,9,neutral,others
los que dan los mejores consejos suelen ser los que tienen más problemas,Depressed,13,neutral,others
 solo porque no seas perfecto no significa que no seas hermoso,Depressed,11,positive,joy
 detrás de cada canción favorita de las chicas hay una historia no contada,Depressed,13,neutral,others
 no te odio solo pierdo todo mi respeto por ti,Depressed,10,negative,anger
 joder excusa aprende a admitir cuando la cagas,Depressed,8,negative,anger
 ¿Alguna vez solo quieres gritar que nadie folle como tú en alguien?,Depressed,12,negative,others
 ¿Alguna vez te disgustó tanto alguien que odias cuando la gente es amable con ellos?,Depressed,15,neutral,others
no me importa lo atractivo que seas si tu personalidad es fea asi se tu,Depressed,15,negative,others
 A veces odio cómo me controlan mis sentimientos,Depressed,8,negative,anger
 cuando la palabra falla la música habla,Depressed,7,neutral,others
" Me doy cuenta de lo bueno que seas con la gente, algunos simplemente no lo apreciarán.",Depressed,16,neutral,others
 no me digas algo porque no quieres hacerme enojar probablemente sea la mejor manera de molestarme,Depressed,16,negative,others
 sigue ignórame pero cuando me necesites haré lo mismo,Depressed,9,negative,others
 amigos luchan por ti respeto te involucras animas necesitas te mereces te salvas,Depressed,13,positive,joy
 Necesito a alguien que no se rinda conmigo sin importar cuantas veces me equivoque,Depressed,14,neutral,others
 la música siempre ayuda sin importar por lo que estés pasando,Depressed,11,positive,joy
 Di que estoy cansado cuando por dentro quieres llorar y derrumbarte,Depressed,11,negative,sadness
" Incluso si los alejas, las personas que realmente te aman siempre elegirán quedarse.",Depressed,13,neutral,sadness
" Estoy agradecido por los momentos difíciles, la lucha definitivamente me ha hecho más fuerte.",Depressed,14,neutral,joy
 nunca pierdas la oportunidad de decirle a alguien lo mucho que significa para ti,Depressed,14,positive,others
"Estarás bien, sí, solo me cansaré, la excusa perfecta.",Depressed,9,neutral,others
 Prefiero perder una discusión con alguien que perder a alguien con una discusión,Depressed,13,negative,others
" Una vez que comienzas a sentir aversión por alguien, todo lo que hace comienza a molestarte.",Depressed,16,negative,others
 fingir una sonrisa es mucho más fácil que explicar lo que está mal,Depressed,13,negative,others
" No te odio, solo decepciono, te conviertes en todo lo que dices que nunca serías.",Depressed,15,negative,sadness
 Que se jodan todos los que dicen que estarán ahí para mí y luego se van.,Depressed,16,neutral,others
 sé honesto conmigo que sea todo lo que pido,Depressed,9,neutral,others
" alguna vez has tenido un mensaje de texto que te rompa el corazón, sí, yo también",Depressed,16,neutral,others
" No llames, ríndete, llama, haz lo que sea mejor para ti, sigue adelante.",Depressed,13,positive,others
 Soy algo de lo que te arrepentirás perder. Puedo prometerte eso.,Depressed,11,neutral,sadness
 lucha por los que luchan por ti suelta a los que te dejan ir,Depressed,14,negative,others
 olvida lo que te hirió pero nunca olvides lo que te enseño,Depressed,12,neutral,sadness
 A veces tienes que dejar de pensar tanto e ir a donde te lleve tu corazón.,Depressed,16,neutral,others
ahora soy invisible para ti genial siempre he querido un superpoder,Depressed,11,positive,others
" que tengas una buena vida, trato de estar en ella",Depressed,10,positive,joy
" Cuando realmente te preocupas por alguien, su felicidad importa más que la tuya.",Depressed,13,negative,others
"sí, he cometido muchos errores, la vida no viene con instrucciones",Depressed,11,neutral,others
 en realidad soy muy amable hasta que me molestas,Depressed,9,negative,others
 si dos personas son felices juntas dejalas en paz,Depressed,9,positive,others
 sea mucho más fácil hablar con las personas con sentido del humor,Depressed,12,neutral,others
 no pierdes amigos solo aprendes quienes son tus verdaderos,Depressed,9,negative,sadness
 detrás de su sonrisa hay una historia que nunca entenderías,Depressed,10,neutral,others
 nunca confundas mi silencio con ignorancia mi calma con aceptación o mi amabilidad con debilidad,Depressed,15,neutral,others
 si estas ausente durante mi lucha no esperes estar presente durante mi exito,Depressed,13,neutral,others
piensa antes de hablar la palabra puede doler,Depressed,8,negative,sadness
 reproducir los momentos pausar los recuerdos detener el dolor rebobinar la felicidad,Depressed,12,neutral,others
 los verdaderos amigos te recogen cuando te caes pero los especiales no te dejan caer,Depressed,15,positive,joy
" si es lo suficientemente estúpido como para alejarse, sé lo suficientemente inteligente como para dejarlo ir",Depressed,16,negative,sadness
 A veces me pregunto quién estará realmente ahí para mí y quién solo pretenderá estarlo.,Depressed,15,neutral,others
batería baja batería baja batería baja aparentemente tienes suficiente batería para recordarme cada dos segundos,Depressed,15,negative,others
 no me sigas simplemente para que te siga y luego dejar de seguirlo no funciona así,Depressed,16,neutral,others
" Todo el mundo te dice que te mereces algo mejor, pero nadie estará dispuesto a dártelo.",Depressed,16,neutral,others
 tienes quince años deberías sentir una mariposa en tu barriga no una patada de bebé,Depressed,15,negative,others
 cuando realmente amas a alguien edad distancia altura peso se todo solo numero,Depressed,13,neutral,others
 algunas personas tendrán que aprender a apreciarte al perderte,Depressed,9,neutral,others
 a veces no es lo que dices lo que importa es lo que no dices,Depressed,15,neutral,others
 no te enojes porque te dejo enojate tu me alejas,Depressed,10,negative,others
 la verdad os hará libres pero primero os cabreará,Depressed,9,negative,others
 He estado solo durante casi toda mi vida ¿Qué te hace pensar que podrías hacerme bien?,Depressed,16,neutral,others
 antes de asumir aprende antes de juzgar entiende antes de lastimar siente antes de decir piensa,Depressed,16,neutral,others
 nunca luches por alguien que no luche por ti,Depressed,9,negative,others
 no dejes que nadie cambie quien eres para convertirte en lo que necesitan,Depressed,13,neutral,others
" Si todavía buscas a esa persona que puede cambiar tu vida, mírate en el espejo.",Depressed,15,neutral,others
 tu sonrisa sea hermosa úsala más a menudo,Depressed,8,positive,others
 toda chica quiere ser sentirse bella ser amada y ser tratada con respeto,Depressed,13,positive,others
 los celos significan que realmente me importas un carajo,Depressed,9,negative,others
 para mi eres uno en un millon para ti yo soy como los demas,Depressed,14,neutral,others
 lamentablemente no puedo hacer que me ames como yo te amo,Depressed,11,positive,sadness
definición de estúpido saber la verdad ver la verdad pero aún así creer la mentira,Depressed,15,negative,anger
 Quiero a alguien que se quede conmigo sin importar lo difícil que sea estar conmigo.,Depressed,15,negative,others
 a veces perdonas a las personas simplemente porque todavía las quieres en tu vida,Depressed,14,negative,sadness
 un corazón roto sea lo que cambie a la gente,Depressed,10,negative,sadness
 veces me quedo despierto durante horas pienso en ti y deseo que pudiéramos estar juntos,Depressed,15,neutral,others
 seis letras dos palabras fácil de decir difícil de explicar más difícil de hacer seguir adelante,Depressed,16,negative,others
 no siempre creas todo lo que escuchas cualquiera te puede vender una mentira,Depressed,13,neutral,others
 a veces siento que quiero dormir y olvidarme de todos mis problemas,Depressed,12,negative,others
" sin llamadas, entiendo, sin texto, entiendo, pero cuando me veas con otra persona, por favor, entiéndelo.",Depressed,16,neutral,others
" cuanto menos te importe, más feliz serás",Depressed,7,positive,joy
 no termines perdiéndote trata de aferrarte a alguien que nunca se preocupe por perderte,Depressed,14,negative,sadness
" no importa quiénes seamos y lo que hagamos, todos merecemos estar sanos y felices",Depressed,14,positive,others
lo intentaré si me quieres en tu vida házmelo saber,Depressed,10,neutral,others
 amar ser aceptar a las personas por lo que son sin importar lo que pase,Depressed,15,positive,joy
 el amor ser una manta eléctrica con alguien más en control del interruptor,Depressed,13,neutral,others
 estaré agotado mentalmente estaré agotado espiritualmente estaré muerto físicamente sonrío,Depressed,10,negative,sadness
" No soy perfecto, pero haré lo mejor que pueda por ti.",Depressed,11,positive,joy
 nadie merece ser tratado como una opción,Depressed,7,negative,others
 twitter no te apesta solo sigue a la gente equivocada,Depressed,10,negative,anger
 si te gusto dime si me extrañas demuéstrame si me amas demuéstralo,Depressed,12,neutral,others
" cuando las chicas dicen lo que sea, realmente intentan decir vete a la mierda",Depressed,14,negative,others
"oh, entonces ahora seré invisible para ti, eso es genial, siempre quise un superpoder",Depressed,14,neutral,others
 nunca confundas mi silencio con ignorancia mi calma con aceptación o mi amabilidad con debilidad,Depressed,15,neutral,others
 a veces es mejor quedarse callado el silencio puede decir mucho sin decir una palabra,Depressed,15,neutral,others
" No tengo mal genio, solo tengo una reacción rápida a las tonterías.",Depressed,12,negative,others
 la gente se siente sola porque construye un muro en lugar de un puente,Depressed,14,neutral,others
 a menos que esté contigo no te preocupes por lo que hago,Depressed,12,negative,others
" respétame, te respeto, faltame el respeto, vete a la mierda",Depressed,10,negative,anger
 algunos de nosotros tratamos de pasar el día sin desmoronarnos,Depressed,10,negative,others
 la música se convierte en mi mejor amiga cuando nadie más me entiende,Depressed,13,neutral,others
batería baja batería baja batería baja aparentemente tienes suficiente batería para recordarme cada dos segundos,Depressed,15,negative,others
 si tienes que despertarme para pedirme algo la respuesta será automáticamente no,Depressed,12,neutral,others
 es asombroso cuanto dolor puede esconder una sonrisa,Depressed,8,negative,sadness
 hay alguien por ahí que va a caer perdidamente enamorado de ti solo ten paciencia,Depressed,15,neutral,others
" Odio cuando alguien comienza a decirte algo y luego terminan diciendo que no importa, olvídalo.",Depressed,15,negative,anger
 no llores por el pasado se va no te estreses por el futuro no ha llegado,Depressed,16,neutral,others
 escucha algo que te mata absolutamente y tienes que actuar como si estuvieras bien,Depressed,14,neutral,others
 solo se tu y si a la gente no le gusta pues que se jodan,Depressed,15,neutral,others
Enamórate de alguien que te joda al final,Depressed,8,neutral,others
 Odio perder amigos solo porque entablan una relación.,Depressed,8,negative,anger
 trataré de llamar tu atención si me quieres ven a buscarme,Depressed,11,neutral,others
 ninguna novia debería sentir que está compitiendo con otra chica,Depressed,10,neutral,others
 te juro que si recibo otro mensaje directo si ves esta foto tuya es spam,Depressed,15,neutral,others
"No cambiaré por nadie si no puedes manejarme, ese es tu problema, no el mío.",Depressed,15,neutral,others
 nunca te aferres a alguien que ya no te aferre,Depressed,10,negative,others
 ignora a los que hablan a tus espaldas ellos pertenecen detrás de ti,Depressed,13,negative,others
 esos mensajes de texto cuando eres como ¿cómo diablos respondo a esto?,Depressed,12,neutral,others
 algunas personas necesitan abrir su pequeña mente en lugar de su gran boca,Depressed,13,positive,others
 no puedes perdonar a alguien y luego mencionarlo cada vez que te enojas,Depressed,13,negative,others
 acepto tu defecto pero no acepto tu mierda,Depressed,8,negative,others
 Me gusta mantener mi habitación desordenada para que si alguien trata de matarme tropiece y muera.,Depressed,16,neutral,others
" Siempre estaré ahí para ti, ¿dónde diablos estarás cuando te necesite?",Depressed,11,neutral,others
 no hables solo actúa no digas solo muestra no prometas solo prueba,Depressed,12,neutral,others
 error ser malo para aprender no repetir,Depressed,7,negative,others
 nada duele más que ser decepcionado por la persona que crees que nunca te lastimaría,Depressed,15,negative,sadness
" quiere que su relación dure, mantenga a las personas fuera de su negocio",Depressed,13,neutral,others
 Supongo que cuando dices para siempre te refieres a hasta que encuentres a alguien mejor.,Depressed,15,neutral,others
" alguna vez has tenido un mensaje de texto que te rompa el corazón, sí, yo también",Depressed,16,neutral,others
 no te odio solo pierdo todo mi respeto por ti,Depressed,10,negative,anger
 la mejor forma de evitar decepciones es no esperar nada de nadie,Depressed,12,neutral,others
 no hables solo actúa no digas solo muestra no prometas solo prueba,Depressed,12,neutral,others
 nunca tome una decisión permanente sobre la sensación temporal,Depressed,9,negative,others
" Si la llamada anterior, déjala ir al correo de voz, no tiene nada nuevo que decir.",Depressed,16,neutral,others
 hay una diferencia entre lo que dices y lo que haces,Depressed,11,neutral,others
 ella es una guardiana lástima que no la conserves,Depressed,9,neutral,others
" veces lo mejor que se puede decir es nada, algunas personas ni siquiera valen tu palabra",Depressed,16,negative,others
 solo recuerda que me importa un carajo cuando nadie más lo hace,Depressed,12,neutral,others
 las personas que se alejan tan rápido son las que nunca tienen la intención de quedarse,Depressed,16,negative,sadness
" respétame, te respeto, faltame el respeto, vete a la mierda",Depressed,10,negative,anger
 Tu peor batalla será entre lo que sabes y lo que sientes.,Depressed,12,negative,others
 creo que voy a curar pero la verdad es que dejo de sentir,Depressed,13,neutral,others
 ¿Por qué mantenerme vivo tan duro?,Depressed,6,negative,others
 mi cabeza es actualmente un lugar horrible para estar,Depressed,9,negative,anger
 desaparezco en algún momento es lo mío,Depressed,7,neutral,others
 Me pregunto por qué no soy lo suficientemente bueno para ti.,Depressed,11,neutral,others
 a veces el peor lugar en el que puedes estar es en tu propia cabeza,Depressed,15,negative,others
 simplemente ya no se que hacer,Depressed,6,neutral,others
 Me siento tan agotado emocionalmente que sea demasiado,Depressed,8,negative,sadness
 a veces el peor lugar en el que puedes estar es tu propia cabeza,Depressed,14,negative,others
 mi única razón para levantarme de la cama es ahora vete,Depressed,11,neutral,others
 sentí tanto que empiezo a no sentir nada,Depressed,8,neutral,others
" Hago todo lo posible para estar bien, pero todos los días es tan difícil.",Depressed,14,negative,sadness
espero que el año nuevo te vaya mejor,Depressed,8,positive,joy
 a veces los recuerdos felices duelen más,Depressed,7,negative,sadness
 mis pensamientos me destruyen trato de no pensar pero el silencio también es un asesino,Depressed,15,negative,anger
 a veces algo duele tanto que deja de doler,Depressed,9,negative,sadness
 me importa siempre me importa que sea mi problema,Depressed,9,neutral,others
 me siento tan vacío por dentro,Depressed,6,negative,sadness
 llora el dolor por la noche para poder fingir una sonrisa todo el día,Depressed,14,neutral,sadness
" digo que todo estará bien, pero nunca digo que no duela",Depressed,11,neutral,others
 la voz grita fuerte como el infierno,Depressed,7,neutral,others
 nadie sabe cuanto lloro todos los dias,Depressed,7,negative,sadness
" Quiero verte sonreír, sé que eso significa que tendré que irme.",Depressed,11,negative,others
 Despertar es lo más difícil de hacer,Depressed,7,negative,others
 la gente se va pero como se va sera lo que se quede contigo para siempre,Depressed,16,neutral,joy
 yo se que no se si la vida valga la pena tanto problema,Depressed,13,neutral,others
 Lucho por ocultar el daño en el que me he convertido.,Depressed,11,neutral,others
 Estaré más roto de lo que piensas.,Depressed,7,neutral,others
" te dejo entrar, te dejo follar y me destruyes por completo",Depressed,11,neutral,others
 No sé por qué incluso intento que todos me sorprendan.,Depressed,10,neutral,others
 Me siento tan solo por qué estoy aquí,Depressed,8,negative,sadness
tal vez se fue porque me vio como yo me veo,Depressed,11,neutral,others
 Mira este video que es realmente agradable.,Depressed,7,positive,joy
 no valgo el tiempo de nadie,Depressed,6,negative,others
 Solo quiero que el dolor termine,Depressed,6,negative,sadness
 fingir una sonrisa es mucho más fácil que explicar por qué estás triste,Depressed,13,negative,sadness
 tu ojo que usan para brillar tan brillante,Depressed,8,positive,others
 no te preocupes por mi estare bien solo no me mires a los ojos,Depressed,14,neutral,others
 Me pregunto cuántas personas han visto mi corte y nunca han dicho nada.,Depressed,13,neutral,others
" Siguen diciendo que mejora, pero cuando no cambia nada para mí, no valgo nada.",Depressed,14,negative,others
" Me estoy desmoronando, apenas respiro con un corazón roto que sigue latiendo",Depressed,12,negative,sadness
 no se que estar vivo o solo respiro,Depressed,8,negative,others
 nadie me quiere ni yo mismo,Depressed,6,negative,others
 Siento que todos me odian y eso está bien porque yo también me odia.,Depressed,14,negative,sadness
 me lastimé porque me lo merezco,Depressed,6,negative,sadness
 Me pierdo más y más cada maldito día,Depressed,8,negative,sadness
" Joder, siento todo lo que hacen, me hacen sentir inútil y entumecido",Depressed,12,negative,anger
" Me dolió, pero está bien, me acostumbré.",Depressed,7,neutral,others
 pretender durante el día romper adentro por la noche,Depressed,9,neutral,others
 soy una persona horrible no puedo hacer nada probablemente sea un sombrero,Depressed,12,negative,others
 no soy tan fuerte como todos creen que soy,Depressed,9,negative,surprise
" estúpido, creo que soy lo suficientemente bueno",Depressed,7,neutral,others
 Puedo sentir que me rompo pieza por pieza,Depressed,8,neutral,others
 quiero ser feliz pero algo dentro de mi grita que no lo merezco,Depressed,13,positive,others
 me rompes como si fuera una de tus jodidas promesas,Depressed,10,negative,anger
" feliz año nuevo chicas, sobrevivieron al 2017 y estoy muy orgulloso de ustedes, chico",Depressed,14,positive,joy
 dibujo con plata y se vuelve magia roja,Depressed,8,neutral,joy
 los monstruos no duermen debajo de tu cama duermen dentro de tu cabeza,Depressed,13,neutral,others
" la depresión no siempre es a las 3, a veces te golpea a las 3",Depressed,15,neutral,others
 solo miento para no tener que ver lagrimas de decepcion en tus ojos,Depressed,13,negative,sadness
" puede ser difícil vivir en la piel humana, por eso la mayoría de nosotros la rasgamos",Depressed,16,negative,others
" si realmente necesitas a alguien con quien hablar, estaré aquí y me preocuparé por todos ustedes.",Depressed,16,neutral,others
sonrisa falsa ojo seco rasguño muñecas moretón muslos pastillas blancas cuerda marea pistola carga suicidio,Depressed,15,negative,others
 Tienes razón en llamarme inestable. Seré un desastre.,Depressed,8,negative,others
 A nadie realmente le importa hasta que sucede algo dramático.,Depressed,10,negative,others
 no tienes que decirme que no valgo nada créeme ya lo sé,Depressed,12,neutral,others
 Sorprende cuánto pueden ocultar las mangas largas y una sonrisa falsa.,Depressed,11,negative,surprise
 sigues y sigues hasta que chocas y lloras por todo y por cualquier cosa,Depressed,14,negative,sadness
 mato a alguien que ves mato a la chica que solía ser yo,Depressed,13,negative,others
 sonríes pero quieres llorar hablas pero quieres estar callado finges ser feliz pero no lo eres,Depressed,16,negative,others
 la gente no se muere de suicidio se muere de tristeza anonimo,Depressed,12,negative,sadness
 el peor sentimiento es querer llorar pero tener que aguantar porque estás en público,Depressed,14,negative,sadness
 mi mayor temor es que eventualmente me veas como yo me veo,Depressed,12,neutral,fear
 Will podría amar a la chica de la cicatriz,Depressed,9,neutral,others
 nunca se como manejar la tristeza llorar me hace sentir estúpido,Depressed,11,negative,sadness
 deja que la oscuridad me consuma,Depressed,6,neutral,others
 borra mi existencia nadie se dara cuenta,Depressed,7,negative,others
 creo que mejoro en realidad se volvió peor de lo que era antes,Depressed,13,neutral,others
 la voz en mi cabeza simplemente no se calla,Depressed,9,negative,others
 Soy tan inútil que debería morir,Depressed,6,negative,others
 no hay palabra para el dolor de sentirse tan indeseable,Depressed,10,negative,sadness
mi mente me dirá que termine con todo,Depressed,8,neutral,others
 ser ignorado solo hazme sentir que no debería estar aquí,Depressed,10,negative,others
 todo está borroso para mí ahora,Depressed,6,neutral,others
